               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11741,             0.20046,                   0,           0.0037532,           0.0082645,          0.00018678,          3.7357e-05,             0.11234,              0.2114,                   0,               3e-05,               3e-05,             0.09973
                   1,              0.1151,             0.18849,                   0,           0.0051692,           0.0082645,          0.00036472,          3.6472e-05,             0.10991,             0.21095,                   0,          6.9984e-05,          6.9984e-05,             0.09937
                   2,             0.11169,             0.19339,                   0,            0.010325,           0.0082645,          0.00057894,          7.4705e-05,             0.10682,             0.21568,                   0,           0.0001099,           0.0001099,             0.09901
                   3,             0.10847,             0.19948,                   0,           0.0061018,           0.0082645,          0.00039254,          3.9254e-05,             0.10338,             0.22353,                   0,           0.0001497,           0.0001497,             0.09865
                   4,             0.10496,              0.2063,                   0,           0.0024476,            0.024793,           0.0007261,          8.9442e-05,            0.099845,             0.23266,                   0,          0.00018933,          0.00018933,            0.098289
                   5,             0.10183,             0.21274,                   0,           0.0048365,            0.016529,           0.0012886,          0.00012886,            0.096449,             0.24184,                   0,          0.00022873,          0.00022873,            0.097929
                   6,            0.097615,             0.21963,                   0,           0.0075348,           0.0082645,           0.0019016,          0.00031264,            0.093606,             0.24927,                   0,          0.00026785,          0.00026785,            0.097568
                   7,            0.095156,             0.22954,                   0,             0.91771,           0.0082645,           0.0069708,          0.00093199,            0.090933,             0.25564,                   0,          0.00030664,          0.00030664,            0.097207
                   8,            0.092365,             0.23031,                   0,            0.010135,            0.057851,           0.0094577,           0.0018087,             0.08839,             0.26111,                   0,          0.00034505,          0.00034505,            0.096845
                   9,            0.091033,             0.22988,                   0,             0.02044,             0.07438,            0.010843,           0.0022799,            0.086367,             0.26352,                   0,          0.00038303,          0.00038303,            0.096483
                  10,            0.089964,             0.23835,                   0,            0.041527,            0.049587,            0.015794,           0.0029421,            0.084393,             0.26409,                   0,          0.00042053,          0.00042053,            0.096121
                  11,            0.092238,             0.22278,                   0,            0.059174,             0.05615,            0.026816,           0.0047157,            0.083657,             0.25942,                   0,           0.0004575,           0.0004575,            0.095757
                  12,            0.086837,             0.23103,                   0,            0.049326,             0.31405,            0.034027,           0.0068204,            0.082402,             0.25487,                   0,          0.00049388,          0.00049388,            0.095394
                  13,            0.089223,              0.2187,                   0,            0.072355,             0.31405,            0.052881,           0.0090508,            0.082103,             0.24806,                   0,          0.00052964,          0.00052964,             0.09503
                  14,             0.08549,             0.21662,                   0,            0.097367,              0.2562,             0.06944,            0.011209,            0.081157,             0.24642,                   0,          0.00056473,          0.00056473,            0.094665
                  15,             0.08482,             0.20464,                   0,              0.1205,             0.28099,            0.093811,            0.016431,            0.079877,             0.25541,                   0,           0.0005991,           0.0005991,            0.094299
